,schedule time,actual time,stand,trailer,direction
127,2023-06-02 16:00:00,2023-06-02 15:50:00,R21,2,1
128,2023-06-02 16:05:00,2023-06-02 15:59:00,W46,3,1
129,2023-06-02 16:05:00,2023-06-02 19:08:00,N6,3,1
130,2023-06-02 16:15:00,2023-06-02 15:47:00,S29,3,1
131,2023-06-02 16:15:00,2023-06-02 15:57:00,S35,3,1
132,2023-06-02 16:15:00,2023-06-02 16:15:00,S33,3,1
133,2023-06-02 16:25:00,2023-06-02 16:31:00,W42,2,1
134,2023-06-02 16:30:00,2023-06-02 16:11:00,N60,3,1
135,2023-06-02 16:30:00,2023-06-02 16:01:00,S1,3,1
136,2023-06-02 16:30:00,2023-06-02 16:27:00,N9,2,1
137,2023-06-02 16:35:00,2023-06-02 18:04:00,N30,3,1
138,2023-06-02 16:45:00,2023-06-02 16:56:00,S43,2,1
139,2023-06-02 16:45:00,2023-06-02 17:25:00,N24,3,1
140,2023-06-02 16:50:00,2023-06-02 16:45:00,R18,2,1
141,2023-06-02 16:50:00,2023-06-02 16:33:00,N10,2,1
142,2023-06-02 16:55:00,2023-06-02 16:43:00,N70,3,1
143,2023-06-02 17:00:00,2023-06-02 17:07:00,N32,3,1
144,2023-06-02 17:00:00,2023-06-02 16:35:00,W71,3,1
145,2023-06-02 17:00:00,2023-06-02 16:44:00,W67,2,1
146,2023-06-02 17:10:00,2023-06-02 16:48:00,R13,3,1
147,2023-06-02 17:15:00,2023-06-02 16:58:00,S49,2,1
148,2023-06-02 17:15:00,2023-06-02 16:58:00,N68,2,1
149,2023-06-02 17:20:00,2023-06-02 17:28:00,W65,3,1
150,2023-06-02 17:30:00,2023-06-02 17:36:00,N34,3,1
151,2023-06-02 17:35:00,2023-06-02 18:36:00,N32,3,1
152,2023-06-02 17:35:00,2023-06-02 17:10:00,S3,2,1
153,2023-06-02 17:40:00,2023-06-02 17:37:00,S11,2,1
154,2023-06-02 17:40:00,2023-06-02 18:28:00,W44,2,1
155,2023-06-02 17:40:00,2023-06-02 17:16:00,W40,3,1
156,2023-06-02 17:45:00,2023-06-02 18:04:00,N64,2,1
157,2023-06-02 17:45:00,2023-06-03 11:39:00,S29,2,1
158,2023-06-02 17:50:00,2023-06-02 17:42:00,R19,3,1
159,2023-06-02 17:50:00,2023-06-02 18:21:00,N5,2,1
160,2023-06-02 17:50:00,2023-06-02 17:54:00,S33,3,1
161,2023-06-02 17:55:00,2023-06-02 17:31:00,R15,3,1
162,2023-06-02 17:55:00,2023-06-02 18:06:00,W46,2,1
163,2023-06-02 18:00:00,2023-06-02 18:01:00,R16,3,1
164,2023-06-02 18:05:00,2023-06-02 17:56:00,S25,2,1
165,2023-06-02 18:05:00,2023-06-02 18:01:00,N60,2,1
166,2023-06-02 18:10:00,2023-06-02 20:49:00,S31,2,1
167,2023-06-02 18:25:00,2023-06-02 18:27:00,S29,3,1
168,2023-06-02 18:35:00,2023-06-02 18:31:00,S35,3,1
169,2023-06-02 18:35:00,2023-06-02 18:20:00,S47,2,1
170,2023-06-02 18:50:00,2023-06-02 18:33:00,N10,3,1
171,2023-06-02 18:50:00,2023-06-02 18:43:00,W42,3,1
