,schedule time,actual time,stand,trailer,direction
139,2023-06-01 17:40:00,2023-06-01 17:11:00,N34,2,1
140,2023-06-01 17:45:00,2023-06-01 18:16:00,S27,3,1
141,2023-06-01 17:50:00,2023-06-01 17:38:00,W44,3,1
142,2023-06-01 17:55:00,2023-06-01 18:13:00,S23,2,1
143,2023-06-01 17:55:00,2023-06-01 18:09:00,S41,3,1
144,2023-06-01 18:00:00,2023-06-01 17:56:00,R13,3,1
145,2023-06-01 18:05:00,2023-06-01 18:42:00,N5,2,1
146,2023-06-01 18:05:00,2023-06-01 17:55:00,N60,2,1
147,2023-06-01 18:10:00,2023-06-01 18:57:00,N30,3,1
148,2023-06-01 18:15:00,2023-06-01 18:49:00,R14,3,1
149,2023-06-01 18:20:00,2023-06-01 19:42:00,S47,3,1
150,2023-06-01 18:25:00,2023-06-01 18:25:00,N24,2,1
151,2023-06-01 18:50:00,2023-06-01 19:05:00,N70,2,1
152,2023-06-01 18:55:00,2023-06-01 18:35:00,N26,2,1
153,2023-06-01 18:55:00,2023-06-01 18:22:00,N32,2,1
154,2023-06-01 18:55:00,2023-06-01 18:12:00,W50,2,1
155,2023-06-01 18:55:00,2023-06-01 18:29:00,N8,3,1
156,2023-06-01 18:55:00,2023-06-01 18:32:00,W42,3,1
157,2023-06-01 19:00:00,2023-06-01 18:58:00,R15,2,1
158,2023-06-01 19:05:00,2023-06-01 18:40:00,N62,2,1
159,2023-06-01 19:05:00,2023-06-01 19:25:00,N10,3,1
160,2023-06-01 19:10:00,2023-06-01 20:35:00,N24,2,1
161,2023-06-01 19:15:00,2023-06-01 19:24:00,N68,3,1
162,2023-06-01 19:15:00,2023-06-01 18:54:00,S49,3,1
163,2023-06-01 19:20:00,2023-06-01 19:17:00,R16,2,1
164,2023-06-01 19:20:00,2023-06-01 19:19:00,W44,2,1
165,2023-06-01 19:25:00,2023-06-01 19:20:00,R19,2,1
166,2023-06-01 19:30:00,2023-06-01 20:11:00,W46,2,1
167,2023-06-01 19:35:00,2023-06-01 19:05:00,R17,2,1
168,2023-06-01 20:00:00,2023-06-01 20:53:00,S23,3,1
169,2023-06-01 20:00:00,2023-06-01 19:40:00,W48,2,1
170,2023-06-01 20:10:00,2023-06-01 20:32:00,N36,2,1
171,2023-06-01 20:25:00,2023-06-01 21:09:00,W71,3,1
172,2023-06-01 20:30:00,2023-06-01 20:24:00,R18,3,1
173,2023-06-01 20:30:00,2023-06-01 20:25:00,S3,2,1
174,2023-06-01 20:35:00,2023-06-01 20:14:00,N34,3,1
175,2023-06-01 20:40:00,2023-06-01 20:37:00,N10,3,1
176,2023-06-01 20:45:00,2023-06-01 20:24:00,W69,3,1
177,2023-06-01 20:50:00,2023-06-01 20:59:00,N70,2,1
178,2023-06-01 20:50:00,2023-06-01 20:59:00,N26,3,1
179,2023-06-01 20:55:00,2023-06-01 20:24:00,S25,2,1
180,2023-06-01 21:00:00,2023-06-01 21:31:00,S2,3,1
181,2023-06-01 21:05:00,2023-06-01 22:29:00,S3,3,1
182,2023-06-01 21:15:00,2023-06-01 21:04:00,N30,2,1
