,schedule time,actual time,stand,trailer,direction
138,2023-06-04 15:10:00,2023-06-04 15:06:00,N5,2,0
139,2023-06-04 15:15:00,2023-06-04 15:22:00,N6,2,0
140,2023-06-04 15:25:00,2023-06-04 15:19:00,S33,3,0
141,2023-06-04 15:25:00,2023-06-04 15:45:00,N60,3,0
142,2023-06-04 15:25:00,2023-06-04 15:32:00,N68,2,0
143,2023-06-04 15:30:00,2023-06-04 15:22:00,S11,2,0
144,2023-06-04 15:35:00,2023-06-04 15:35:00,S49,3,0
145,2023-06-04 15:35:00,2023-06-04 15:34:00,W44,3,0
146,2023-06-04 15:40:00,2023-06-04 15:55:00,S23,3,0
147,2023-06-04 15:45:00,2023-06-04 15:53:00,W65,2,0
148,2023-06-04 15:50:00,2023-06-04 17:03:00,R16,3,0
149,2023-06-04 15:50:00,2023-06-04 15:56:00,S35,3,0
150,2023-06-04 15:55:00,2023-06-04 16:04:00,N7,3,0
151,2023-06-04 16:00:00,2023-06-04 15:55:00,R14,3,0
152,2023-06-04 16:00:00,2023-06-04 15:55:00,S47,3,0
153,2023-06-04 16:05:00,2023-06-04 16:39:00,N66,2,0
154,2023-06-04 16:10:00,2023-06-04 16:09:00,S29,3,0
155,2023-06-04 16:15:00,2023-06-04 15:42:00,N34,3,0
156,2023-06-04 16:15:00,2023-06-04 17:22:00,S3,3,0
157,2023-06-04 16:20:00,2023-06-04 16:19:00,W42,3,0
158,2023-06-04 16:20:00,2023-06-04 16:29:00,W71,3,0
159,2023-06-04 16:25:00,2023-06-04 16:22:00,W50,2,0
160,2023-06-04 16:25:00,2023-06-04 16:27:00,N10,2,0
161,2023-06-04 16:30:00,2023-06-04 16:28:00,S43,3,0
162,2023-06-04 16:35:00,2023-06-04 16:42:00,N8,2,0
163,2023-06-04 16:40:00,2023-06-04 16:41:00,N9,3,0
164,2023-06-04 16:45:00,2023-06-04 16:41:00,S25,2,0
165,2023-06-04 16:45:00,2023-06-04 16:43:00,S49,3,0
166,2023-06-04 16:50:00,2023-06-04 16:54:00,S1,2,0
167,2023-06-04 16:50:00,2023-06-04 16:54:00,R15,3,0
168,2023-06-04 16:50:00,2023-06-04 16:51:00,R18,2,0
169,2023-06-04 16:55:00,2023-06-04 16:44:00,S31,3,0
170,2023-06-04 16:55:00,2023-06-04 17:01:00,R13,2,0
171,2023-06-04 17:00:00,2023-06-04 17:04:00,S33,2,0
172,2023-06-04 17:05:00,2023-06-04 17:11:00,S45,3,0
173,2023-06-04 17:15:00,2023-06-04 17:14:00,W65,2,0
174,2023-06-04 17:20:00,2023-06-04 18:07:00,N64,3,0
175,2023-06-04 17:25:00,2023-06-04 17:19:00,N68,3,0
176,2023-06-04 17:25:00,2023-06-04 17:26:00,S11,2,0
177,2023-06-04 17:30:00,2023-06-04 17:29:00,N7,2,0
178,2023-06-04 17:30:00,2023-06-04 17:37:00,N24,3,0
179,2023-06-04 17:35:00,2023-06-04 17:34:00,S35,3,0
180,2023-06-04 17:35:00,2023-06-04 17:50:00,R19,2,0
181,2023-06-04 17:45:00,2023-06-04 17:49:00,W48,2,0
182,2023-06-04 17:45:00,2023-06-04 17:59:00,W46,2,0
183,2023-06-04 17:50:00,2023-06-04 17:49:00,S47,2,0
184,2023-06-04 17:50:00,2023-06-04 17:48:00,S23,3,0
185,2023-06-04 18:00:00,2023-06-04 21:07:00,N70,3,0
186,2023-06-04 18:00:00,2023-06-04 18:40:00,S43,2,0
187,2023-06-04 18:05:00,2023-06-04 17:54:00,N36,3,0
188,2023-06-04 18:05:00,2023-06-04 18:37:00,R16,2,0
189,2023-06-04 18:15:00,2023-06-04 18:14:00,S4,3,0
190,2023-06-04 18:15:00,2023-06-04 18:06:00,N10,2,0
191,2023-06-04 18:35:00,2023-06-04 19:18:00,R19,3,0
192,2023-06-04 18:35:00,2023-06-04 18:34:00,W44,3,0
193,2023-06-04 18:35:00,2023-06-04 18:28:00,N70,2,0
194,2023-06-04 18:50:00,2023-06-04 18:50:00,R18,2,0
195,2023-06-04 18:50:00,2023-06-04 18:42:00,S27,2,0
196,2023-06-04 18:50:00,2023-06-04 19:41:00,N68,2,0
197,2023-06-04 18:50:00,2023-06-04 18:51:00,S33,3,0
198,2023-06-04 19:00:00,2023-06-04 19:02:00,S1,2,0
199,2023-06-04 19:05:00,2023-06-04 19:07:00,S41,2,0
200,2023-06-04 19:05:00,2023-06-04 19:20:00,N62,3,0
201,2023-06-04 19:25:00,2023-06-04 19:46:00,S11,3,0
202,2023-06-04 19:30:00,2023-06-04 19:34:00,N32,2,0
203,2023-06-04 19:30:00,2023-06-04 19:59:00,N9,3,0
204,2023-06-04 19:35:00,2023-06-04 19:35:00,S47,3,0
205,2023-06-04 19:45:00,2023-06-04 19:48:00,R14,2,0
206,2023-06-04 19:50:00,2023-06-04 19:39:00,N7,3,0
207,2023-06-04 19:55:00,2023-06-04 22:02:00,S45,2,0
208,2023-06-04 20:05:00,2023-06-04 19:59:00,S49,3,0
209,2023-06-04 20:05:00,2023-06-04 19:57:00,N36,2,0
210,2023-06-04 20:05:00,2023-06-04 19:58:00,N10,3,0
211,2023-06-04 20:10:00,2023-06-04 20:07:00,S45,3,0
212,2023-06-04 20:10:00,2023-06-04 20:08:00,W48,2,0
213,2023-06-04 20:10:00,2023-06-04 20:10:00,R21,2,0
214,2023-06-04 20:30:00,2023-06-04 20:29:00,W63,2,0
215,2023-06-04 20:35:00,2023-06-04 20:33:00,N8,2,0
216,2023-06-04 20:45:00,2023-06-04 21:03:00,N5,2,0
217,2023-06-04 20:45:00,2023-06-04 20:43:00,W40,2,0
218,2023-06-04 20:45:00,2023-06-05 01:35:00,N36,2,0
219,2023-06-04 21:10:00,2023-06-04 21:11:00,R18,3,0
220,2023-06-04 21:20:00,2023-06-04 21:35:00,R17,3,0
221,2023-06-04 21:25:00,2023-06-04 22:09:00,N8,2,0
222,2023-06-04 21:30:00,2023-06-04 21:24:00,N60,2,0
223,2023-06-04 21:40:00,2023-06-04 21:44:00,R15,2,0
224,2023-06-04 21:55:00,2023-06-04 22:06:00,N24,2,0
225,2023-06-04 22:05:00,2023-06-04 22:15:00,N6,3,0
226,2023-06-04 22:05:00,2023-06-04 21:57:00,N10,2,0
227,2023-06-04 22:25:00,2023-06-04 22:47:00,N34,3,0
228,2023-06-04 22:30:00,2023-06-04 23:23:00,N66,3,0
229,2023-06-04 22:30:00,2023-06-04 23:06:00,N60,2,0
230,2023-06-04 22:45:00,2023-06-04 22:43:00,N68,3,0
231,2023-06-04 22:50:00,2023-06-04 22:49:00,S11,3,0
232,2023-06-04 22:55:00,2023-06-04 23:26:00,N9,2,0
233,2023-06-04 23:00:00,2023-06-04 23:00:00,S1,2,0
234,2023-06-04 23:00:00,2023-06-04 22:58:00,N64,3,0
235,2023-06-04 23:05:00,2023-06-04 23:53:00,W65,3,0
236,2023-06-04 23:10:00,2023-06-04 23:57:00,S27,3,0
237,2023-06-04 23:10:00,2023-06-04 23:36:00,N36,2,0
238,2023-06-04 23:10:00,2023-06-04 23:05:00,N28,2,0
239,2023-06-04 23:20:00,2023-06-04 23:19:00,N30,2,0
240,2023-06-04 23:25:00,2023-06-04 23:31:00,N26,3,0
241,2023-06-04 23:35:00,2023-06-04 23:42:00,W63,2,0
242,2023-06-04 23:45:00,2023-06-04 23:48:00,W71,2,0
243,2023-06-04 23:55:00,2023-06-04 23:52:00,S33,2,0
244,2023-06-04 23:55:00,2023-06-04 23:56:00,N68,3,0
